super_opeid,name,type,tier,tier_name,state,czname,par_median,par_rank,par_q1,par_q2,par_q3,par_q4,par_q5,par_top1pc,k_rank,k_median,k_q1,k_q2,k_q3,k_q4,k_q5,k_top1pc,kq1_cond_parq1,kq2_cond_parq1,kq3_cond_parq1,kq4_cond_parq1,kq5_cond_parq1,kq1_cond_parq2,kq2_cond_parq2,kq3_cond_parq2,kq4_cond_parq2,kq5_cond_parq2,kq1_cond_parq3,kq2_cond_parq3,kq3_cond_parq3,kq4_cond_parq3,kq5_cond_parq3,kq1_cond_parq4,kq2_cond_parq4,kq3_cond_parq4,kq4_cond_parq4,kq5_cond_parq4,kq1_cond_parq5,kq2_cond_parq5,kq3_cond_parq5,kq4_cond_parq5,kq5_cond_parq5,ktop1pc_cond_parq1,ktop1pc_cond_parq2,ktop1pc_cond_parq3,ktop1pc_cond_parq4,ktop1pc_cond_parq5
30955,ASA Institute Of Business & Computer Technology,3,11,Two-year for-profit,NY,New York,29000,0.274209106,0.44357517,0.32679018,0.14371076,0.05970677,0.026217192,0.000415863,0.44333166,19700,0.1712801,0.29721653,0.25163236,0.21002053,0.069850542,0.001981456,0.17915319,0.33957693,0.24377847,0.19232664,0.045164712,0.16552109,0.27243546,0.2694793,0.20787431,0.084689856,0.19135213,0.22408453,0.27545071,0.23907514,0.070037611,0.12893395,0.29359123,0.1760198,0.28581092,0.11564407,0.096270703,0.29853204,0.20369349,0.20427091,0.19723283,4.26297E-05,0.004922005,0.000695323,0.002435886,0.004146865
3537,Abilene Christian University,2,6,Selective private,TX,Abilene,101000,0.683686359,0.052441355,0.10103199,0.16393574,0.25824007,0.42435089,0.023049099,0.59242207,40100,0.1400653,0.13294759,0.17327738,0.24644408,0.30726567,0.028367676,0.094144821,0.10862718,0.25599816,0.26732701,0.27390283,0.18618762,0.12963904,0.2034312,0.23309059,0.24765149,0.14365052,0.15883599,0.20837456,0.2874772,0.20166177,0.13800208,0.13981503,0.17422011,0.23329166,0.31467104,0.13462961,0.1225604,0.14174302,0.2391946,0.3618724,0.038079586,0.010980259,0.017191675,0.016094882,0.043093346
1541,Abraham Baldwin Agricultural College,1,7,Nonselective four-year public,GA,Valdosta,66000,0.525405982,0.15455516,0.18715858,0.22549702,0.23676255,0.19602653,0.002520282,0.53531063,32500,0.12194975,0.1790269,0.25532883,0.27395719,0.16973718,0.006384978,0.17649074,0.23979603,0.30101529,0.18656828,0.096129663,0.11401461,0.2289665,0.28606683,0.22847596,0.1424761,0.11998492,0.13451687,0.27231202,0.31154609,0.16164011,0.092711516,0.16680454,0.23359773,0.30565181,0.20123436,0.12409817,0.14939772,0.1966711,0.30476099,0.22507203,0.006440227,0.007474435,0.002043603,0.003663757,0.013582016
7531,Academy Of Art University,3,10,Four-year for-profit,CA,San Francisco,92300,0.649209833,0.093524233,0.12291715,0.1753495,0.21152514,0.39668405,0.035681199,0.51605916,27400,0.20586628,0.19378209,0.18086788,0.15814623,0.26133758,0.014030807,0.26703009,0.18542577,0.20629373,0.16635033,0.17490003,0.20905481,0.19157112,0.21893194,0.13638723,0.24405494,0.19975942,0.22083299,0.18134363,0.14692578,0.25113821,0.1993628,0.192634,0.1671838,0.1889049,0.25191447,0.19662528,0.18509193,0.17016526,0.15151256,0.29660493,0.014551297,0.011080111,0.003751543,0.003041524,0.025226077
1345,Adams State University,1,5,Selective public,CO,Alamosa,67200,0.540471235,0.12922439,0.1855039,0.24842876,0.26087633,0.17596665,0.003146715,0.55242109,34100,0.12124767,0.15907787,0.24386188,0.27226484,0.20354776,0.005832592,0.169993,0.20166962,0.21881245,0.26369584,0.14582914,0.12888451,0.18362787,0.23587221,0.28918275,0.16243257,0.10558637,0.14734074,0.26411721,0.28090703,0.20204861,0.117544,0.15930827,0.22771633,0.29199779,0.20343369,0.10500124,0.11814803,0.26602009,0.21926692,0.29156369,0.000240012,5.4899E-05,0.006516102,0.003082793,0.019142136
2666,Adelphi University,2,6,Selective private,NY,New York,96300,0.648892214,0.087048024,0.12853861,0.15643388,0.22986455,0.39811498,0.023863256,0.65645194,50700,0.10051541,0.11300756,0.14764461,0.19315448,0.445678,0.014892664,0.098475181,0.1251636,0.19384955,0.20817724,0.37433442,0.12819031,0.11394597,0.1512318,0.19388846,0.41274351,0.090565264,0.10661294,0.1711234,0.19665042,0.43504792,0.087775581,0.13160761,0.16251582,0.19001622,0.42808473,0.10329168,0.10181998,0.1185716,0.19007106,0.48624572,0.030012798,0,0.012568131,0.019824557,0.014460809
2860,Adirondack Community College - SUNY Office Of Community Colleges,1,9,Two-year (public and private not-for-profit),NY,Albany,69900,0.534996618,0.11428819,0.17760713,0.25521886,0.29444924,0.1584366,0.001922987,0.52692991,30300,0.12090603,0.20071687,0.25119588,0.25800961,0.16917166,0.003172263,0.14055271,0.2546151,0.27408123,0.24376971,0.086981259,0.13001651,0.21152487,0.25721031,0.24916261,0.15208569,0.13742936,0.20859195,0.26899543,0.22390676,0.1610765,0.1044997,0.17422518,0.24207838,0.2861701,0.19302665,0.10039492,0.18626994,0.21621726,0.28079858,0.21631935,0.000247923,0.00042337,0.003976956,0.003720859,0.006047441
2234,Adrian College,2,6,Selective private,MI,Jackson,88500,0.643139329,0.060760289,0.11535594,0.20081325,0.28132689,0.34174353,0.011504383,0.60715014,40300,0.085792035,0.12808184,0.21049739,0.30366662,0.27196202,0.003567733,0.15087558,0.16439058,0.21269469,0.31462336,0.15741579,0.083161861,0.14765577,0.20696786,0.33797786,0.22423662,0.073973455,0.1153337,0.24982749,0.3447499,0.21611543,0.09041439,0.13870628,0.23076543,0.26504341,0.27507061,0.078247949,0.113764,0.17150237,0.2977908,0.33869484,0.000696305,0,0.006753096,0,0.006347785
11484,Advanced Institute Of Hair Design,3,11,Two-year for-profit,WI,Milwaukee,78100,0.621006866,0.025902087,0.11116548,0.25450274,0.40800014,0.20042956,0.001437937,0.45323527,24300,0.12270878,0.27942181,0.3455011,0.1843133,0.068055019,0.001089648,0.082549147,0,0.01994345,0.11869445,0.77881294,0.072769679,0.40340728,0.4097611,0.076348215,0.037713815,0.17467886,0.22039878,0.37141436,0.19375487,0.039753128,0.029537598,0.32553586,0.42468721,0.18073063,0.039508641,0.27926779,0.22784095,0.15783507,0.24797896,0.087077215,0.003760445,0.005776683,0,2.05567E-05,0.001704786
31275,Advanced Technology Institute,3,11,Two-year for-profit,VA,Virginia Beach,57200,0.481592976,0.15953134,0.21892074,0.26273358,0.2235292,0.13528517,0.002457908,0.54722869,33900,0.1238795,0.15231359,0.22978204,0.30947971,0.18454519,0.003851297,0.11510123,0.21521592,0.1805242,0.29208973,0.19706888,0.15049015,0.20535231,0.18106706,0.32645312,0.1366374,0.11230531,0.09376099,0.30635959,0.37525505,0.11231909,0.13204618,0.097415306,0.22276509,0.27886382,0.2689096,0.10015348,0.19673033,0.2295742,0.22536537,0.24817653,0.000407234,0.00033923,0.000474572,0.012107226,0.006512621
