year,p0p50,p50p90,p90p100,p99p100
1913,.1531,.42379999,.41940001,.1864
1914,.1513,.4192,.4253,.19140001
1915,.15360001,.42449999,.4179,.1856
1916,.1473,.40880001,.43959999,.205
1917,.1464,.40459999,.44510001,.2001
1918,.1485,.41510001,.4341,.18979999
1919,.145,.4007,.4522,.2098
1920,.15009999,.41549999,.4316,.1839
1921,.1406,.39410001,.4614,.1805
1922,.1436,.40099999,.4515,.17550001
1923,.1504,.41859999,.42840001,.1698
1924,.1429,.40450001,.44980001,.17659999
1925,.1375,.3917,.46759999,.20020001
1926,.1365,.38909999,.47170001,.2139
1927,.13850001,.39390001,.46520001,.20479999
1928,.1358,.38460001,.47670001,.215
1929,.1391,.39410001,.46360001,.2124
1930,.1416,.405,.4522,.1825
1931,.14139999,.4086,.44870001,.1593
1932,.1365,.39700001,.46619999,.15790001
1933,.13609999,.39520001,.4677,.17290001
1934,.13429999,.3854,.47850001,.1737
1935,.14120001,.38820001,.47150001,.1788
1936,.1402,.38240001,.47670001,.1978
1937,.1437,.39109999,.4641,.1948
1938,.1435,.3919,.46200001,.1749
1939,.1398,.38150001,.47670001,.18799999
1940,.142,.38069999,.47819999,.2014
1941,.1486,.3935,.46340001,.21269999
1942,.18089999,.4084,.41819999,.20460001
1943,.1904,.42899999,.38699999,.18889999
1944,.1961,.44190001,.36230001,.15880001
1945,.1569,.4849,.3563,.1487
1946,.1705,.45739999,.37130001,.1472
1947,.17219999,.45699999,.37149999,.15539999
1948,.17389999,.43700001,.39050001,.1682
1949,.1709,.44549999,.3847,.1619
1950,.17550001,.4346,.39269999,.17290001
1951,.18449999,.4384,.38159999,.16599999
1952,.1899,.44499999,.36880001,.15539999
1953,.1934,.4517,.35929999,.1469
1954,.18629999,.45469999,.3626,.1464
1955,.1883,.4463,.3707,.1548
1956,.1928,.44960001,.3617,.1464
1957,.1919,.45050001,.36090001,.1433
1958,.18350001,.45950001,.3592,.1345
1959,.1814,.45699999,.3651,.142
1960,.18189999,.46180001,.3585,.1353
1961,.1762,.4655,.36019999,.1337
1962,.1955,.44549999,.359,.1265
1963,.191,.44530001,.3637,.12800001
1964,.1868,.44510001,.36809999,.1294
1965,.19159999,.4438,.3646,.1287
1966,.19599999,.4427,.36140001,.12819999
1967,.20900001,.44060001,.3504,.1223
1968,.2068,.44049999,.3527,.1243
1969,.21359999,.44769999,.33860001,.1141
1970,.2124,.45449999,.33309999,.1049
1971,.20559999,.45559999,.33880001,.1088
1972,.2036,.45469999,.34169999,.1087
1973,.2054,.4501,.34450001,.1077
1974,.2101,.4553,.3346,.1026
1975,.2045,.45719999,.33829999,.1031
1976,.20550001,.4569,.33759999,.1022
1977,.20280001,.45559999,.3416,.1047
1978,.2023,.45879999,.33880001,.1025
1979,.2036,.45429999,.34200001,.1077
1980,.2008,.46149999,.33770001,.1034
1981,.19670001,.46090001,.34240001,.1056
1982,.1911,.4639,.345,.1087
1983,.1832,.46520001,.3515,.1126
1984,.1796,.4567,.36379999,.1189
1985,.17839999,.45730001,.36430001,.12
1986,.1767,.46169999,.36160001,.1167
1987,.1737,.45519999,.37110001,.1283
1988,.1689,.44310001,.38800001,.1462
1989,.1697,.4463,.384,.1418
1990,.1688,.4474,.3838,.14219999
1991,.1666,.4513,.382,.13519999
1992,.1594,.44800001,.3926,.1445
1993,.16060001,.45019999,.3892,.13950001
1994,.16069999,.44980001,.38949999,.13789999
1995,.1568,.44580001,.39739999,.1432
1996,.1542,.43920001,.4066,.1506
1997,.1521,.43439999,.41350001,.1578
1998,.1524,.4298,.41769999,.162
1999,.15180001,.42739999,.4208,.1657
2000,.1507,.42289999,.42640001,.1728
2001,.1532,.4289,.4179,.1649
2002,.1538,.4325,.41370001,.15979999
2003,.15109999,.43430001,.41460001,.1619
2004,.14820001,.42969999,.42210001,.16859999
2005,.1441,.4235,.4323,.177
2006,.14129999,.41819999,.44060001,.183
2007,.1435,.4165,.44,.18430001
2008,.14309999,.4208,.43599999,.1804
2009,.1425,.43340001,.42410001,.1664
2010,.13850001,.42449999,.43689999,.17649999
2011,.1346,.42219999,.44310001,.1815
2012,.1321,.41370001,.4542,.1927
2013,.13429999,.41710001,.44870001,.1832
2014,.13150001,.41350001,.45500001,.1886
2015,.1319,.41280001,.4553,.1881
2016,.13079999,.4163,.45300001,.1858
2017,.1358,.41190001,.45230001,.1875
2018,.1348,.41010001,.4551,.1892
2019,.13519999,.41139999,.4535,.18719999
